Id,Name,Type,Rarity,Introduction,skillGemParam ID
418,Legiana Gem,Material,rare7,A rare gem said to have formed within Legiana tissue. Used to dramatically improve gear.,
419,Odogaron Scale,Material,rare4,Odogaron material. Mostly obtained by carving. Broadly used for many purposes.,
420,Odogaron Sinew,Material,rare4,"Odogaron material. Mostly obtained as a reward. Solid, used to craft gear.",
421,Odogaron Claw,Material,rare4,"Odogaron material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
422,Odogaron Fang,Material,rare4,"Odogaron material. Obtained by breaking its head. Sharp, used in many weapons.",
423,Odogaron Tail,Material,rare4,"Odogaron material. Obtained by carving its severed tail. Stiff, used to craft gear.",
424,Odogaron Plate,Material,rare5,"Odogaron material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
425,Odogaron Scale+,Material,rare6,Rare Odogaron material. Mostly obtained by carving. Broadly used for many purposes.,
426,Odogaron Sinew+,Material,rare6,"Rare Odogaron material. Mostly obtained as a reward. Solid, used to craft gear.",
427,Odogaron Claw+,Material,rare6,"Rare Odogaron material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
428,Odogaron Fang+,Material,rare6,"Rare Odogaron material. Obtained by breaking its head. Sharp, used in many weapons.",
429,Odogaron Gem,Material,rare7,A rare gem said to have formed within Odogaron tissue. Used to dramatically improve gear.,
430,Rathalos Scale,Material,rare4,Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
431,Rathalos Shell,Material,rare4,"Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
432,Rathalos Webbing,Material,rare4,"Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
433,Rathalos Tail,Material,rare4,Rathalos material. Obtained by carving its severed tail. Compatible with fire element.,
434,Rath Wingtalon,Material,rare4,"Material from Rathian and Rathalos. Obtained by breaking its wings. Sharp, used in many weapons.",
435,Rathalos Marrow,Material,rare4,Rathalos material. Mostly obtained by carving. Grants fire element properties.,
436,Rathalos Plate,Material,rare5,"Rathalos material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
437,Rathalos Scale+,Material,rare6,Rare Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
438,Rathalos Carapace,Material,rare6,"Rare Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
439,Rathalos Wing,Material,rare6,"Rare Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
440,Rathalos Medulla,Material,rare6,Rare Rathalos material. Obtained by carving. Grants fire element properties.,
441,Rathalos Ruby,Material,rare7,A rare gem said to have formed within Rathalos tissue. Almost too nice to use.,
442,Azure Rathalos Scale+,Material,rare6,Rare Azure Rathalos material. Mostly obtained by carving. Broadly used for many purposes.,
443,Azure Rathalos Carapace,Material,rare6,"Rare Azure Rathalos material. Mostly obtained as a reward. Solid, used to craft gear.",
444,Azure Rathalos Tail,Material,rare6,Rare Azure Rathalos material. Obtained by carving its severed tail. Compatible with fire element.,
445,Azure Rathalos Wing,Material,rare6,"Rare Azure Rathalos material. Obtained by breaking its wings. Supple, used to craft gear.",
446,Diablos Shell,Material,rare4,Diablos material. Mostly obtained by carving. Broadly used for many purposes.,
447,Diablos Ridge,Material,rare4,"Diablos material. Mostly obtained as a reward. Solid, used to craft gear.",
448,Diablos Tailcase,Material,rare4,"Diablos material. Obtained by carving its severed tail. Sturdy, but difficult to handle.",
449,Diablos Fang,Material,rare4,"Diablos material. Mostly obtained by carving. Sharp, used in many weapons.",
450,Twisted Horn,Material,rare4,"Diablos material. Obtained by breaking its horns. Stout, used in many weapons.",
451,Diablos Marrow,Material,rare4,"Diablos material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
452,Diablos Carapace,Material,rare6,Rare Diablos material. Mostly obtained by carving. Broadly used for many purposes.,
453,Diablos Ridge+,Material,rare6,"Rare Diablos material. Mostly obtained as a reward. Solid, used to craft gear.",
454,Majestic Horn,Material,rare6,"Rare Diablos material. Obtained by breaking its horns. Stout, used in many weapons.",
455,Blos Medulla,Material,rare6,"Rare Diablos material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
456,Black Diablos Carapace,Material,rare6,Rare Black Diablos material. Mostly obtained by carving. Broadly used for many purposes.,
457,Black Diablos Ridge+,Material,rare6,"Rare Black Diablos material. Mostly obtained as a reward. Solid, used to craft gear.",
458,Black Spiral Horn+,Material,rare6,"Rare Black Diablos material. Obtained by breaking its horns. Stout, used in many weapons.",
459,Kirin Hide,Material,rare4,Kirin material. Mostly obtained by carving. Broadly used for many purposes.,
460,Kirin Tail,Material,rare4,Kirin material. Mostly obtained as a reward. Compatible with thunder element.,
461,Kirin Mane,Material,rare4,"Kirin material. Mostly obtained by carving. Highly thunder-resistant, used to craft gear.",
462,Kirin Thunderhorn,Material,rare4,Kirin material. Obtain by breaking its horn. Grants thunder element properties.,
463,Kirin Hide+,Material,rare7,Rare Kirin material. Mostly obtained by carving. Broadly used for many purposes.,
464,Kirin Thundertail,Material,rare7,Rare Kirin material. Mostly obtained as a reward. Compatible with thunder element.,
465,Kirin Azure Horn,Material,rare7,Rare Kirin material. Obtain by breaking its horn. Grants thunder element properties.,
466,Unavailable,Material,rare6,Unavailable,
467,Zorah Magdaros Heat Scale,Material,rare6,Zorah Magdaros material. Mostly obtained as a reward. Broadly used for many purposes.,
468,Zorah Magdaros Carapace,Material,rare6,"Zorah Magdaros material. Obtained as a rare drop or by mining. Solid, used to craft gear.",
469,Zorah Magdaros Ridge,Material,rare6,"Rare Zorah Magdaros material. Mostly obtained as a reward. Stout, used in many weapons.",
470,Zorah Magdaros Pleura,Material,rare6,"Rare Zorah Magdaros material. Obtained by breaking its chest. Heavy, used to craft armor.",
471,Unavailable,Material,rare6,Unavailable,
472,Zorah Magdaros Magma,Material,rare6,Rare Zorah Magdaros material. Obtained by breaking its head. Unusual and difficult to handle.,
473,Zorah Magdaros Gem,Material,rare7,A rare gem said to have formed within Zorah Magdaros tissue. Holds untold potential.,
474,Dodogama Scale+,Material,rare6,Rare Dodogama material. Mostly obtained by carving. Broadly used for many purposes.,
475,Dodogama Hide+,Material,rare6,"Rare Dodogama material. Mostly obtained as a reward. Supple, used to craft gear.",
476,Dodogama Jaw,Material,rare6,Rare Dodogama material. Obtained by breaking its head. Unusual and difficult to handle.,
477,Dodogama Talon,Material,rare6,"Rare Dodogama material. Obtained by breaking its forelegs. Heavy, used in many weapons.",
478,Dodogama Tail,Material,rare6,"Rare Dodogama material. Obtained by carving its severed tail. Tough, used in many weapons.",
479,Lavasioth Scale+,Material,rare6,Rare Lavasioth material. Mostly obtained by carving. Broadly used for many purposes.,
480,Lavasioth Carapace,Material,rare6,"Rare Lavasioth material. Mostly obtained as a reward. Solid, used to craft gear.",
481,Lavasioth Fang+,Material,rare6,"Rare Lavasioth material. Obtained by breaking its head. Sharp, used in many weapons.",
482,Lavasioth Fin+,Material,rare6,Rare Lavasioth material. Obtained by breaking its dorsal fin. Used for many purposes.,
483,Uragaan Scale+,Material,rare6,Rare Uragaan material. Mostly obtained by carving. Broadly used for many purposes.,
484,Uragaan Carapace,Material,rare6,"Rare Uragaan material. Mostly obtained as a reward. Solid, used to craft gear.",
485,Uragaan Jaw,Material,rare6,"Rare Uragaan material. Obtained from breaking its jaw. Unusual, used in select gear.",
486,Uragaan Scute,Material,rare6,"Rare Uragaan material. Obtained by carving its severed tail. Highly heat- resistant, used to craft gear.",
487,Uragaan Marrow,Material,rare6,"Rare Uragaan material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
488,Uragaan Ruby,Material,rare7,A rare gem said to have formed within Uragaan tissue. Used to dramatically improve gear.,
489,Lava Nugget,Material,rare6,"A rare conglomerate or ore found growing on an Uragaan. Comprised of various ores, melted together.",
490,Bazelgeuse Scale+,Material,rare6,Rare Bazelgeuse material. Mostly obtained by carving. Broadly used for many purposes.,
491,Bazelgeuse Carapace,Material,rare6,"Rare Bazelgeuse material. Mostly obtained as a reward. Solid, used to craft gear.",
492,Bazelgeuse Tail,Material,rare6,"Rare Bazelgeuse material. Obtained by carving its severed tail. Stiff, used to craft gear.",
493,Bazelgeuse Fuse,Material,rare6,Rare Bazelgeuse material. Obtained by breaking its head. Grants blast element properties.,
494,Bazelgeuse Talon,Material,rare6,Rare Bazelgeuse material. Mostly obtained by carving. Compatible with blast element.,
495,Bazelgeuse Wing,Material,rare6,"Rare Bazelgeuse material. Obtained by breaking its wings. Hard, used in many weapons.",
496,Bazelgeuse Gem,Material,rare7,A rare gem said to have formed within Bazelgeuse tissue. Used to dramatically improve gear.,
497,Immortal Dragonscale,Material,rare7,Rare Nergigante material. Mostly obtained by carving. Broadly used for many purposes.,
498,Nergigante Carapace,Material,rare7,"Rare Nergigante material. Mostly obtained as a reward. Solid, used to craft gear.",
499,Unavailable,Material,rare7,Unavailable,
500,Nergigante Tail,Material,rare7,"Rare Nergigante material. Obtained by carving its severed tail. Stiff, used to craft gear.",
501,Nergigante Horn+,Material,rare7,"Rare Nergigante material. Obtained by breaking its horns. Stout, used in many weapons.",
502,Nergigante Talon,Material,rare7,"Rare Nergigante material. Mostly obtained by carving. Sharp, used in many weapons.",
503,Nergigante Regrowth Plate,Material,rare7,"Rare Nergigante material. Obtained by collecting rare drops. Unusual, used to craft gear.",
504,Nergigante Gem,Material,rare8,A rare gem said to have formed within Nergigante tissue. Holds untold potential.,
505,Deceased Scale,Material,rare7,Rare Vaal Hazak material. Mostly obtained by carving. Broadly used for many purposes.,
506,Vaal Hazak Carapace,Material,rare7,"Rare Vaal Hazak material. Mostly obtained as a reward. Solid, used to craft gear.",
507,Vaal Hazak Membrane,Material,rare7,Rare Vaal Hazak material. Obtained by collecting rare drops. Grants dragon element properties.,
508,Vaal Hazak Tail,Material,rare7,"Rare Vaal Hazak material. Obtained by carving its severed tail. Stiff, used to craft gear.",
509,Vaal Hazak Fang+,Material,rare7,"Rare Vaal Hazak material. Obtained by breaking its head. Sharp, used in many weapons.",
510,Vaal Hazak Talon,Material,rare7,"Rare Vaal Hazak material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
511,Vaal Hazak Wing,Material,rare7,"Rare Vaal Hazak material. Obtained by breaking its torso. Light yet firm, used to craft gear.",
512,Unavailable,Material,rare7,Unavailable,
513,Vaal Hazak Gem,Material,rare8,A rare gem said to have formed within Vaal Hazak tissue. Holds untold potential.,
514,Teostra Carapace,Material,rare7,"Rare Teostra material. Mostly obtained as a reward. Solid, used to craft gear.",
515,Teostra Mane,Material,rare7,"Rare Teostra material. Obtained by breaking its head. Highly fire-resistant, used to craft gear.",
516,Teostra Tail,Material,rare7,"Rare Teostra material. Obtained by carving its severed tail. Stiff, used to craft gear.",
517,Teostra Horn+,Material,rare7,"Rare Teostra material. Obtained by breaking its head. Stout, used in many weapons.",
518,Fire Dragon Scale+,Material,rare7,Rare Teostra material. Mostly obtained by carving. Broadly used for many purposes.,
519,Teostra Claw+,Material,rare7,"Rare Teostra material. Mostly obtained by carving. Sharp, used in many weapons.",
520,Teostra Webbing,Material,rare7,"Rare Teostra material. Obtained by breaking its wings. Supple, used to craft gear.",
521,Teostra Powder,Material,rare7,"Rare Teostra material. Obtained by collecting rare drops. Unusual, used in select gear.",
522,Teostra Gem,Material,rare8,A rare gem said to have formed within Teostra tissue. Within it lies unimaginable power.,
523,Daora Carapace,Material,rare7,"Rare Kushala Daora material. Mostly obtained as a reward. Solid, used to craft gear.",
524,Daora Dragon Scale+,Material,rare7,Rare Kushala Daora material. Mostly obtained by carving. Broadly used for many purposes.,
525,Daora Webbing,Material,rare7,"Rare Kushala Daora material. Obtained by breaking its wings. Lightweight, used to craft gear.",
526,Daora Horn+,Material,rare7,"Rare Kushala Daora material. Obtained by breaking its head. Stout, used in many weapons.",
527,Daora Tail,Material,rare7,"Rare Kushala Daora material. Obtained by carving its severed tail. Stiff, used to craft gear.",
528,Daora Claw+,Material,rare7,Rare Kushala Daora material. Mostly obtained by carving. Imbued with potent ice element.,
529,Daora Gem,Material,rare8,A rare gem said to have formed within Kushala Daora tissue. Holds untold potential.,
530,Xeno'jiiva Soulscale,Material,rare7,Rare Xeno'jiiva material. The burnt scale still radiates vestiges of the hereafter.,
531,Xeno'jiiva Shell,Material,rare7,"A rare piece of Xeno'jiiva shell, tempered to act as a vessel for the flames of the underworld.",
532,Xeno'jiiva Veil,Material,rare7,A rare Xeno'jiiva organ that stores energy that can be released in a violent torrent.,
533,Xeno'jiiva Tail,Material,rare7,"A rare, strong Xeno'jiiva tail that can brush aside all enemies in a single lash.",
534,Xeno'jiiva Horn,Material,rare7,"A rare Xeno'jiiva horn. During growth, it's theorized that it helps control the beast's power.",
535,Xeno'jiiva Claw,Material,rare7,"A rare Xeno'jiiva claw, said to cleave soul from flesh.",
536,Xeno'jiiva Wing,Material,rare7,A rare Xeno'jiiva wing. The wing membrane shines with the divine light of a powerful deity.,
537,Unavailable,Material,rare7,Unavailable,
538,Xeno'jiiva Gem,Material,rare8,A phantasmal gem formed inside the tissue of Xeno'jiiva. The power it holds defies comprehension.,
539,??? Scale,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
540,??? Shell,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
541,??? Membrane,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
542,??? Tail,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
543,??? Horn,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
544,??? Claw,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
545,??? Wing,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
546,??? Crystal,Material,rare7,A part from an unknown monster. You sense a strange power within it.,
547,??? Gem,Material,rare8,A part from an unknown monster. You sense a strange power within it.,
548,Mysterious Feystone,Material,rare4,A jewel that conceals faint traces of power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
549,Glowing Feystone,Material,rare5,A jewel that conceals an unknown power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
550,Worn Feystone,Material,rare6,A jewel that conceals considerable power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
551,Warped Feystone,Material,rare7,A jewel that conceals a mystical power within it. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
552,Sullied Streamstone,Material,rare6,"Though dirty, this stone pulses with undeniable power. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>",
553,Shining Streamstone,Material,rare8,A stone that shines with the brilliance of endless possibility. <STYL MOJI_YELLOW_DEFAULT>(Appraisal Item)</STYL>,
554,Streamstone Shard,Material,rare6,"A rare stone taken from a tempered monster. The longer a beast's reign of terror, the larger the shard.",
555,Streamstone,Material,rare7,"A rare stone taken from a tempered monster. A crystal of pure power, born of a beast's endless desires.",
556,Gleaming Streamstone,Material,rare8,A rare stone taken from a tempered monster. Proof that it ruled for an age as a tyrant unchallenged.,
557,Warrior's Streamstone: Sword,Material,rare6,A material used by champions of old. Used to bring out the hidden power in long swords and great swords.,
558,Warrior's Streamstone: Blade,Material,rare6,A material used by champions of old. Used to bring out the hidden power in swords and shields and dual blades.,
559,Warrior's Streamstone: Hammer,Material,rare6,A material used by champions of old. Used to bring out the hidden power in hammers and hunting horns.,
560,Warrior's Streamstone: Lance,Material,rare6,A material used by champions of old. Used to bring out the hidden power in lances and gunlances.,
561,Warrior's Streamstone: Axe,Material,rare6,A material used by champions of old. Used to bring out the hidden power in switch axes and charge blades.,
562,Warrior's Streamstone: Shaft,Material,rare6,A material used by champions of old. Used to bring out the hidden power in insect glaives and bows.,
563,Warrior's Streamstone: Ranged,Material,rare6,A material used by champions of old. Used to bring out the hidden power in light bowguns and heavy bowguns.,
564,Hero's Streamstone: Sword,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in long swords and great swords.,
565,Hero's Streamstone: Blade,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in swords and shields and dual blades.,
566,Hero's Streamstone: Hammer,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in hammers and hunting horns.,
567,Hero's Streamstone: Lance,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in lances and gunlances.,
568,Hero's Streamstone: Axe,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in switch axes and charge blades.,
569,Hero's Streamstone: Shaft,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in insect glaives and bows.,
570,Hero's Streamstone: Ranged,Material,rare8,A material used by legendary heroes. Used to bring out the hidden power in light bowguns and heavy bowguns.,
571,Voucher,Material,rare4,Redeem this for a special meal with stronger effects than usual.,
572,First Wyverian Print,Material,rare4,"A ticket with a handprint, used by the First Wyverians. You can exchange it for items at the Melding Pot.",
573,Deluxe First Wyverian Print,Material,rare4,"A ticket with a handprint, used by the First Wyverians. You can exchange it for items at the Melding Pot.",
574,Steel Wyverian Print,Material,rare4,"A ticket with a handprint, used by the First Wyverians. Exchange it for materials at the Melding Pot.",
575,Silver Wyverian Print,Material,rare4,"A ticket with a handprint, used by the First Wyverians. Exchange it for rare materials at the Melding Pot.",
576,Gold Wyverian Print,Material,rare4,"A ticket with a handprint, used by the First Wyverians. Exchange it for very rare materials at the Melding Pot.",
577,Commendation,Material,rare5,A ticket awarded for demonstrating courage. Collect them and something wonderful may happen!,
578,High Commendation,Material,rare7,A ticket awarded for demonstrating tremendous courage. Collect them and something wonderful may happen!,
579,Research Commission Ticket,Material,rare7,A ticket issued by the commander to those who have aided the Research Commission. Show it to the Smithy!,
580,Pukei Coin,Material,rare4,A coin given to those who have bested a Pukei-Pukei in the Arena.,
581,Kulu Coin,Material,rare4,A coin given to those who have bested a Kulu-Ya-Ku in the Arena.,
582,Rathian Coin,Material,rare4,A coin given to those who have bested a Rathian in the Arena.,
583,Tzitzi Coin,Material,rare4,A coin given to those who have bested a Tzitzi-Ya-Ku in the Arena.,
584,Barroth Coin,Material,rare4,A coin given to those who have bested a Barroth in the Arena.,
585,Gama Coin,Material,rare4,A coin given to those who have bested a Dodogama in the Arena.,
586,Rathalos Coin,Material,rare4,A coin given to those who have bested a Rathalos in the Arena.,
587,Brute Coin,Material,rare4,A coin given to those who have bested multiple brute wyverns at the same time in the Arena.,
588,Flying Coin,Material,rare4,A coin given to those who have bested multiple flying wyverns at the same time in the Arena.,
589,Pinnacle Coin,Material,rare4,A commemorative coin bestowed on hunters who have mastered the craft. The value of its sheen? Priceless.,
590,Hunter King Coin,Material,rare6,A silver coin given to true hunters. It shines with all the glory of the Hunter King.,
591,Ace Hunter Coin,Material,rare8,A golden coin given to hunters at the pinnacle of their field. Only a small handful ever know such honor.,
592,Steel Egg,Material,rare4,"An egg of glittering steel. Valuable and rare, but of no use to a hunter. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
593,Silver Egg,Material,rare4,"An egg of glittering silver. Valuable and rare, but of no use to a hunter. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
594,Golden Egg,Material,rare4,"An egg of glittering gold. Super valuable and rare, but of no use to a hunter. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
595,Chipped Scale,Material,rare4,"Acquired by using the Bandit Mantle. Chipped, but still prized by collectors. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
596,Large Scale,Material,rare4,Acquired by using the Bandit Mantle. Consistently popular among collectors. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
597,Beautiful Scale,Material,rare5,Acquired by using the Bandit Mantle. In perpetual demand among collectors. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
598,Lustrous Scale,Material,rare6,Acquired by using the Bandit Mantle. A source of pride for any collector. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
599,Glimmering Scale,Material,rare7,Acquired by using the Bandit Mantle. A must-have for any collector. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
600,Bhernastone,Material,rare4,"An Old World import. Beautiful, but not suitable for crafting. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
601,Dundormarin,Material,rare4,"An Old World import. Beautiful, but not suitable for crafting. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
602,Loc Lac Ore,Material,rare5,"An Old World import. Beautiful, but not suitable for crafting. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
603,Val Habar Quartz,Material,rare6,"An Old World import. Beautiful, but not suitable for crafting. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
604,Minegardenite,Material,rare7,"An Old World import. Beautiful, but not suitable for crafting. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>",
605,Golden Scale,Material,rare4,The scales of a Goldenfish. They shimmer like only pure gold can. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
606,Golden Scale+,Material,rare5,The scales of a Great Goldenfish. Trades at the same price as actual gold. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
607,Platinum Scale,Material,rare4,The scales of a Platinumfish. They give off a beautiful gleam. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
608,Platinum Scale+,Material,rare5,The scales of a Great Platinumfish. Their shine is nigh on blinding. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
609,Gilded Scale,Material,rare4,The scales of a Goldenfry. Used by artisans in their crafts. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
610,Gilded Scale+,Material,rare5,The scales of a Great Goldenfry. Used in the very finest of crafts. <STYL MOJI_YELLOW_DEFAULT>(Trade-in Item)</STYL>,
611,White Liver,AccountItem,rare2,"A white-colored liver, popular for its juicy texture. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
612,Wyvern Tear,AccountItem,rare3,Bitter tears wept by wyverns on certain occasions. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
613,Large Wyvern Tear,AccountItem,rare5,"Large, bitter tears wept by wyverns on certain occasions. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
614,Dragon Treasure,AccountItem,rare3,A shiny rock that elder dragons like to collect. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
615,Unavailable,AccountItem,rare5,Unavailable,
616,Sunbloom,AccountItem,rare2,A flower from the Ancient Forest. It's been bathed in the warmth of the sun. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
617,Shinebloom,AccountItem,rare3,A rare flower from the Ancient Forest. Has a scent of sunlight on its petals. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
618,Goldbloom,AccountItem,rare4,A precious flower from the Ancient Forest. It glitters brighter than gold. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
619,Gourmet Shroomcap,AccountItem,rare2,A mushroom from the Ancient Forest. Known for its unique tenderness. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
620,Exquisite Shroomcap,AccountItem,rare3,A rare mushroom from the Ancient Forest. Highly sought after by elite chefs. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
621,Spirit Shroomcap,AccountItem,rare4,A precious mushroom from the Ancient Forest. Possesses a fantastical glow. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
622,Bauble Cactus,AccountItem,rare2,A cactus from the Wildspire Waste. Small but fleshy. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
623,Jewel Cactus,AccountItem,rare3,A rare cactus from the Wildspire Waste. Big and meaty. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
624,Kingly Cactus,AccountItem,rare4,A precious cactus from the Wildspire Waste. The undeniable prickle king. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
625,Hardfruit,AccountItem,rare2,"Fruit from the Wildspire Waste. Hard on the outside, juicy on the inside. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
626,Rockfruit,AccountItem,rare3,"Rare fruit from the Wildspire Waste. Tasty, but brutal on the chompers. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
627,Wildfruit,AccountItem,rare4,Precious fruit from the Wildspire Waste. Not for the faint of heart. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
628,Super Abalone,AccountItem,rare2,Coral Highlands seafood. A rare delicacy. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
629,Choice Abalone,AccountItem,rare3,"Rare Coral Highlands seafood. Big in size, big in flavor. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
630,Precious Abalone,AccountItem,rare4,Precious Coral Highlands seafood. A delicacy among delicacies. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
631,Light Pearl,AccountItem,rare2,A jewel from the Coral Highlands. Gleams brilliantly. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
632,Deep Pearl,AccountItem,rare3,A rare jewel from the Coral Highlands. Glows with a profound luster. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
633,Innocent Pearl,AccountItem,rare4,A precious jewel from the Coral Highlands. Glistens with purity. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
634,Forgotten Fossil,AccountItem,rare2,A fossil from the Rotten Vale. It bears tracks from antiquity. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
635,Legendary Fossil,AccountItem,rare3,A rare fossil from the Rotten Vale. The life it holds is long extinct. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
636,Mystical Fossil,AccountItem,rare4,A precious fossil from the Rotten Vale. The key to an ancient mystery. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
637,Underground Fruit,AccountItem,rare2,Fruit from the Rotten Vale. It grows to maturity without sun. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
638,Tainted Fruit,AccountItem,rare3,Rare fruit from the Rotten Vale. It thrives under arduous conditions. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
639,Elysian Fruit,AccountItem,rare4,Precious fruit from the Rotten Vale. Its aroma is not of this world. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
640,Gaia Amber,AccountItem,rare2,Amber from the Elder's Recess. A golden tear plucked from the earth. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
641,Dragonvein Amber,AccountItem,rare3,Rare amber from the Elder's Recess. It pulses with nature's raw energy. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
642,Ancient Amber,AccountItem,rare4,Precious amber from the Elder's Recess. A piece of antiquity. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
643,Blue Beryl,AccountItem,rare2,A gem from the Elder's Recess. It shines with the color of the waves. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
644,True Beryl,AccountItem,rare3,A rare gem from the Elder's Recess. It glints with the clarity of truth. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
645,Abyssal Beryl,AccountItem,rare4,"A precious gem from the Elder's Recess. Has a deep, hypnotic hue. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>",
646,Sunkissed Grass,AccountItem,rare4,A special plant from the Ancient Forest. Known to cure all types of diseases. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
647,Moonlit Mushroom,AccountItem,rare4,A special plant from the Ancient Forest. Radiates like the full moon. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
648,Dragonbloom,AccountItem,rare4,A special flower from the Wildspire Waste. Hard as dragon scale. <STYL MOJI_YELLOW_DEFAULT>(Account Item)</STYL>,
